date,product,category,region,sales_amount,quantity,profit,year,month,month_name,year_month,profit_margin
2023-05-11,Coffee,Groceries,Central,5.52,1,0.75,2023,5,May,2023-05,13.59
2023-05-22,Juice,Groceries,Central,58.25,2,3.98,2023,5,May,2023-05,6.83
2022-04-05,Sweater,Clothing,Central,184.14,2,68.69,2022,4,Apr,2022-04,37.3
2023-09-03,Olive Oil,Groceries,West,18.18,1,2.01,2023,9,Sep,2023-09,11.06
2021-01-21,Webcam,Electronics,South,4277.65,3,693.44,2021,1,Jan,2021-01,16.21
2023-08-14,Lamp,Furniture,East,2204.13,3,681.83,2023,8,Aug,2023-08,30.93
2022-12-04,Jeans,Clothing,West,754.02,4,234.73,2022,12,Dec,2022-12,31.13
2021-10-23,Tennis Racket,Sports,South,891.13,4,252.24,2021,10,Oct,2021-10,28.31
2022-06-05,Headphones,Electronics,East,2706.57,8,336.96,2022,6,Jun,2022-06,12.45
2023-03-16,Olive Oil,Groceries,East,69.1,4,5.22,2023,3,Mar,2023-03,7.55
2023-03-06,Webcam,Electronics,South,86.86,1,13.58,2023,3,Mar,2023-03,15.63
2022-07-18,Bicycle,Sports,Central,332.93,3,102.53,2022,7,Jul,2022-07,30.8
2022-08-01,Dress,Clothing,North,90.13,3,34.35,2022,8,Aug,2022-08,38.11
2021-07-09,Laptop,Electronics,North,989.15,1,120.98,2021,7,Jul,2021-07,12.23
2022-12-11,Bread,Groceries,Central,42.16,2,3.03,2022,12,Dec,2022-12,7.19
2022-03-18,Sofa,Furniture,South,1185.67,2,468.72,2022,3,Mar,2022-03,39.53
2021-08-08,Yoga Mat,Sports,North,321.69,3,123.67,2021,8,Aug,2021-08,38.44
2021-07-22,Bread,Groceries,Central,38.67,2,5.16,2021,7,Jul,2021-07,13.34
2021-07-06,Running Shoes,Sports,West,561.98,4,246.21,2021,7,Jul,2021-07,43.81
2022-07-05,T-Shirt,Clothing,East,224.41,3,104.35,2022,7,Jul,2022-07,46.5
2021-12-12,Headphones,Electronics,West,3853.82,9,718.86,2021,12,Dec,2021-12,18.65
2022-09-20,Bread,Groceries,West,27.06,1,1.63,2022,9,Sep,2022-09,6.02
2021-04-09,Smartwatch,Electronics,South,849.52,3,140.56,2021,4,Apr,2021-04,16.55
2023-03-12,Bicycle,Sports,East,268.18,1,86.77,2023,3,Mar,2023-03,32.36
2023-11-12,Running Shoes,Sports,East,911.21,5,332.05,2023,11,Nov,2023-11,36.44
2023-12-09,Headphones,Electronics,West,5851.36,8,682.76,2023,12,Dec,2023-12,11.67
2023-07-17,Tablet,Electronics,South,2572.09,3,395.59,2023,7,Jul,2023-07,15.38
2023-05-04,Shorts,Clothing,East,132.21,2,63.09,2023,5,May,2023-05,47.72
2023-11-29,Dumbbell Set,Sports,South,2942.04,9,956.51,2023,11,Nov,2023-11,32.51
2023-04-14,Bread,Groceries,South,33.47,2,1.8,2023,4,Apr,2023-04,5.38
2023-04-18,Olive Oil,Groceries,Central,48.44,3,2.67,2023,4,Apr,2023-04,5.51
2023-06-03,Cereal,Groceries,West,9.7,2,0.87,2023,6,Jun,2023-06,8.97
2023-12-18,Dress,Clothing,South,771.61,4,279.76,2023,12,Dec,2023-12,36.26
2022-07-14,Smartwatch,Electronics,Central,3901.97,4,577.2,2022,7,Jul,2022-07,14.79
2023-09-24,Smartwatch,Electronics,West,116.7,1,21.32,2023,9,Sep,2023-09,18.27
2023-10-09,Bicycle,Sports,South,1235.58,4,543.44,2023,10,Oct,2023-10,43.98
